ev_type,fleet_count,fleet_share_pct,powertrain,battery_kwh,ev_consumption_kwh_per_100km,counterfactual_ice_make_model,counterfactual_ice_mpg_combined,status,source_url,retrieval_date,notes
ioniq_5,1976,1.99,BEV,77.40,18.6411,2024 Hyundai Tucson 2.0L FWD,28,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Hyundai_Tucson.shtml,2026-06-07,Hyundai compact CUV; 25 city / 32 hwy
nx_rx_phev,1906,1.92,PHEV,18.10,23.6121,2024 Lexus NX 350 AWD 2.4T,24,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Lexus_NX.shtml,2026-06-08,Direct gas sibling; 21 city / 28 hwy; PHEV scaled by utilityFactor
model_x,1879,1.90,BEV,100.00,21.7480,2024 Cadillac Escalade 6.2L V8 4WD,16,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Cadillac_Escalade.shtml,2026-06-08,"Large luxury 3-row SUV anchor; Escalade chosen over GLS for closer size/perf match. EPA: 14 city / 18 hwy"
xc60_s60_s90_phev,1809,1.82,PHEV,18.80,24.8548,2024 Volvo XC60 B5 AWD,25,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Volvo_XC60.shtml,2026-06-07,Direct Volvo gas sibling; PHEV displacement scaled by utilityFactor
prologue,1753,1.77,BEV,85.00,20.5052,2024 Honda Passport AWD,21,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Honda_Passport.shtml,2026-06-07,Honda's gas mid-size SUV; Pilot alt
grand_cherokee_4xe,1574,1.59,PHEV,17.30,29.2044,2024 Jeep Grand Cherokee 3.6L V6 4WD,22,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Jeep_Grand_Cherokee.shtml,2026-06-08,Direct gas sibling; 19 city / 26 hwy; PHEV scaled by utilityFactor
2_3_4,1570,1.58,BEV,91.00,20.5052,2024 Toyota RAV4 FWD,30,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_RAV4.shtml,2026-06-07,"Lucid 2/3/4 - midsize luxury BEV; RAV4 as conservative proxy. Refine to Acura MDX/RDX or Audi Q5 in Phase 4."
model_s,1505,1.52,BEV,100.00,17.3984,2024 Mercedes-Benz E 350 4MATIC,25,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Mercedes-Benz_E-Class.shtml,2026-06-07,Luxury full-size sedan
r1t,1480,1.49,BEV,135.00,29.8258,2024 Ford F-150 2.7L EcoBoost 4WD,20,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Ford_F150.shtml,2026-06-07,"Full-size pickup; F-150 EcoBoost 4WD as fleet-typical for AWD pickup R1T. EPA: 18 city / 23 hwy"
f_150_lightning,1458,1.47,BEV,131.00,29.8258,2024 Ford F-150 2.7L EcoBoost 4WD,20,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Ford_F150.shtml,2026-06-07,"Direct gas sibling; Lightning is dual-motor AWD only — 4WD F-150 is the appropriate anchor. EPA: 18 city / 23 hwy"
id_4,1422,1.43,BEV,82.00,21.7480,2024 VW Tiguan S FWD,27,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Volkswagen_Tiguan.shtml,2026-06-07,VW compact CUV gas sibling; 24 city / 31 hwy
ev6,1303,1.31,BEV,77.40,18.6411,2024 Kia Sportage 2.5L FWD,28,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Kia_Sportage.shtml,2026-06-07,Kia compact CUV gas sibling; 25 city / 32 hwy
blazer_ev,1235,1.25,BEV,102.00,19.8839,2024 Chevy Blazer 3.6L V6 FWD,22,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Chevrolet_Blazer.shtml,2026-06-07,Direct Chevy gas sibling; 19 city / 27 hwy
gle_glc_s_class_phev,1231,1.24,PHEV,23.50,25.4762,2024 Mercedes-Benz GLE 350 4MATIC 2.0T,23,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Mercedes-Benz_GLE-Class.shtml,2026-06-08,"GLE as anchor for PHEV bucket; 20 city / 27 hwy = 23 combined; PHEV scaled by utilityFactor"
ex30_ex90_xc40,1165,1.18,BEV,75.00,19.2625,2024 Volvo XC40 B5 AWD,26,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Volvo_XC40.shtml,2026-06-07,Direct Volvo gas sibling; 23 city / 30 hwy
outlander_phev,1110,1.12,PHEV,20.00,26.7190,2024 Mitsubishi Outlander 2.5L FWD,27,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Mitsubishi_Outlander.shtml,2026-06-07,Direct gas sibling; 24 city / 31 hwy; PHEV scaled by utilityFactor
ev9,1080,1.09,BEV,99.80,24.2335,2024 Kia Telluride 3.8L FWD,22,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Kia_Telluride.shtml,2026-06-07,Kia 3-row SUV; 20 city / 26 hwy
taycan_macan,971,0.98,BEV,93.00,24.2335,2024 Porsche Macan 2.0T,21,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Porsche_Macan.shtml,2026-06-07,Direct gas sibling; 19 city / 25 hwy
cayenne_panamera_phev,928,0.94,PHEV,22.00,29.2044,2024 Porsche Macan 2.0T (proxy),21,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Porsche_Macan.shtml,2026-06-07,Macan as proxy for Cayenne/Panamera bucket; PHEV scaled by utilityFactor
air_gravity,925,0.93,BEV,112.00,16.7770,2024 Mercedes-Benz S 580 4MATIC,21,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Mercedes-Benz_S-Class.shtml,2026-06-07,Luxury full-size sedan; Lucid Air anchor; 17 city / 26 hwy
gv60_electrified,814,0.82,BEV,81.60,20.5052,2024 Genesis GV70 2.5T AWD,24,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Genesis_GV70.shtml,2026-06-07,Direct Genesis gas sibling; 22 city / 28 hwy
pacifica_hybrid,785,0.79,PHEV,16.00,31.0686,2024 Chrysler Pacifica 3.6L V6 FWD,22,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Chrysler_Pacifica.shtml,2026-06-07,Direct gas minivan sibling; 19 city / 28 hwy; PHEV scaled by utilityFactor
tucson_phev,717,0.72,PHEV,13.80,23.6121,2024 Hyundai Tucson 2.0L FWD,28,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Hyundai_Tucson.shtml,2026-06-07,Direct gas sibling; PHEV scaled by utilityFactor
escape_phev,659,0.66,PHEV,14.40,22.9907,2024 Ford Escape 1.5L EcoBoost FWD,30,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Ford_Escape.shtml,2026-06-07,Direct gas sibling; 27 city / 34 hwy; PHEV scaled by utilityFactor
aviator_corsair_phev,602,0.61,PHEV,13.60,34.7968,2024 Lincoln Aviator RWD V6,21,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Lincoln_Aviator.shtml,2026-06-07,Direct gas sibling; 18 city / 26 hwy; PHEV scaled by utilityFactor
range_rover_phev,594,0.60,PHEV,38.20,31.0686,2024 Land Rover Range Rover P530 V8,19,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Land_Rover_Range_Rover.shtml,2026-06-07,Direct gas sibling; 16 city / 23 hwy; PHEV scaled by utilityFactor
q5_e,593,0.60,PHEV,14.40,22.9907,2024 Audi Q5 2.0T quattro,26,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Audi_Q5.shtml,2026-06-07,Direct gas sibling; PHEV scaled by utilityFactor
bz4x,569,0.57,BEV,71.40,19.8839,2024 Toyota RAV4 FWD,30,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_RAV4.shtml,2026-06-07,Compact CUV proxy; bZ4X shares RAV4 platform
ioniq_6,556,0.56,BEV,77.40,14.9129,2024 Hyundai Sonata 2.5L SEL FWD,29,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Hyundai_Sonata.shtml,2026-06-07,Midsize sedan gas sibling; 27 city / 37 hwy
sportage_phev,513,0.52,PHEV,13.80,23.6121,2024 Kia Sportage 2.5L FWD,28,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Kia_Sportage.shtml,2026-06-07,Direct gas sibling; PHEV scaled by utilityFactor
sorento_phev,512,0.52,PHEV,13.80,25.4762,2024 Kia Sorento 2.5L FWD,26,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Kia_Sorento.shtml,2026-06-07,Direct gas sibling; 24 city / 29 hwy; PHEV scaled by utilityFactor
rz,502,0.51,BEV,71.40,22.3694,2024 Lexus RX 350 AWD 2.4T,24,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Lexus_RX.shtml,2026-06-08,Lexus midsize luxury CUV; 21 city / 28 hwy
santa_fe_phev,491,0.50,PHEV,13.80,25.4762,2024 Hyundai Santa Fe 2.5L FWD,24,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Hyundai_Santa_Fe.shtml,2026-06-07,Direct gas sibling; PHEV scaled by utilityFactor
cx_90_phev,390,0.39,PHEV,17.80,34.7968,2024 Mazda CX-90 3.3T,25,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Mazda_CX-90.shtml,2026-06-07,Direct gas sibling; PHEV scaled by utilityFactor
ariya,380,0.38,BEV,87.00,20.5052,2024 Nissan Rogue 1.5L S/SV FWD,33,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Nissan_Rogue.shtml,2026-06-07,Nissan compact CUV gas sibling; 30 city / 37 hwy
other_phev_mainstream,365,0.37,PHEV,16.00,24.8548,2024 fleet-average midsize SUV gas,25,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_RAV4.shtml,2026-06-07,Catch-all bucket; fleet-avg RAV4-class
leaf,284,0.29,BEV,60.00,18.6411,2024 Toyota Corolla LE,35,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_Corolla.shtml,2026-06-07,Compact sedan/hatch proxy (Versa 35 mpg alt)
other_bev_mainstream,269,0.27,BEV,80.00,19.8839,2024 fleet-average midsize SUV gas,25,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Toyota_RAV4.shtml,2026-06-07,Catch-all bucket
solterra,258,0.26,BEV,71.40,20.5052,2024 Subaru Forester 2.5L AWD,29,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Subaru_Forester.shtml,2026-06-08,Direct Subaru CUV sibling; 26 city / 33 hwy
hummer_ev,248,0.25,BEV,205.00,39.1464,2024 Chevy Tahoe 5.3L V8,17,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Chevrolet_Tahoe.shtml,2026-06-07,No modern ICE Hummer; Tahoe/Yukon as full-size proxy (refine to Suburban or Escalade if needed)
sierra_ev,190,0.19,BEV,200.00,32.9327,2024 GMC Sierra 1500 5.3L V8 4WD,16,verified,https://www.fueleconomy.gov/feg/bymodel/2024_GMC_Sierra.shtml,2026-06-08,Direct gas sibling; 4WD 15 city / 19 hwy (2WD is 16/21=18 combined)
cooper_se,168,0.17,BEV,28.90,19.2625,2024 MINI Cooper 1.5L auto,32,verified,https://www.fueleconomy.gov/feg/bymodel/2024_MINI_Cooper.shtml,2026-06-08,Direct gas sibling; 29 city / 38 hwy (auto AM-S7)
i_pace,130,0.13,BEV,84.70,27.3403,2024 Jaguar F-PACE P250 2.0L,24,verified,https://www.fueleconomy.gov/feg/bymodel/2024_Jaguar_F-PACE.shtml,2026-06-08,Direct gas Jaguar CUV sibling; 22 city / 27 hwy
